"new_user","age","sex","market","device","operative_system","source","total_pages_visited","home_page","listing_page","product_page","payment_page","confirmation_page"
"1","29","Female","1","Desktop","Windows","Ads","3","1","1","1","0","0"
"1","25","Female","1","Mobile","iOS","Direct","4","1","1","1","0","0"
"1","24","Male","4","Desktop","Windows","Seo","4","1","1","1","0","0"
"1","22","Male","3","Desktop","Windows","Seo","2","1","1","0","0","0"
"1","32","Female","1","Desktop","Mac","Ads","2","1","1","0","0","0"
"1","30","Female","1","Mobile","Other","Seo","6","1","1","1","0","0"
"1","25","Female","1","Desktop","Windows","Ads","3","1","0","0","0","0"
"1","23","Female","2","Mobile","iOS","Seo","9","1","1","1","1","0"
"1","23","Male","1","Desktop","Mac","Direct","6","1","0","0","0","0"
"1","35","Female","1","Desktop","Windows","Seo","4","1","1","1","0","0"
"1","33","Female","4","Desktop","Windows","Seo","3","1","0","0","0","0"
"1","28","Male","1","Desktop","Linux","Seo","2","1","1","0","0","0"
"1","21","Female","1","Desktop","Windows","Seo","11","1","1","1","0","0"
"1","21","Female","1","Mobile","iOS","Seo","5","1","1","1","0","0"
"1","20","Female","1","Mobile","Android","Seo","7","1","0","0","0","0"
"1","19","Female","4","Desktop","Windows","Seo","1","1","0","0","0","0"
"1","46","Female","2","Desktop","Windows","Seo","3","1","1","1","0","0"
"1","42","Female","2","Mobile","Android","Ads","5","1","1","1","0","0"
"1","38","Female","1","Mobile","iOS","Seo","5","1","1","1","0","0"
"1","32","Female","1","Desktop","Windows","Ads","3","1","1","0","0","0"
"1","28","Female","1","Mobile","Android","Seo","3","1","1","1","0","0"
"1","28","Female","1","Desktop","Windows","Seo","4","1","1","1","1","0"
"1","26","Female","1","Mobile","Other","Seo","6","1","1","0","0","0"
"1","25","Female","1","Desktop","Windows","Ads","2","1","1","0","0","0"
"1","23","Female","4","Desktop","Windows","Seo","7","1","1","1","0","0"
"1","22","Female","1","Mobile","Android","Seo","4","1","1","0","0","0"
"1","22","Female","1","Mobile","iOS","Seo","5","1","1","0","0","0"
"1","21","Female","1","Desktop","Windows","Seo","3","1","1","1","0","0"
"1","20","Female","1","Mobile","iOS","Ads","15","1","1","1","1","0"
"1","19","Female","2","Mobile","iOS","Seo","3","1","1","0","0","0"
"1","18","Female","1","Desktop","Windows","Ads","6","1","0","0","0","0"
"1","18","Female","2","Mobile","iOS","Seo","3","1","1","1","0","0"
"1","17","Female","1","Desktop","Windows","Direct","7","1","0","0","0","0"
"1","17","Female","1","Desktop","Windows","Ads","6","1","0","0","0","0"
"1","45","Female","2","Mobile","Android","Seo","4","1","1","1","0","0"
"1","42","Female","1","Desktop","Mac","Ads","5","1","0","0","0","0"
"1","36","Female","2","Desktop","Mac","Seo","3","1","1","1","0","0"
"1","34","Female","2","Desktop","Windows","Ads","4","1","0","0","0","0"
"1","29","Female","1","Mobile","iOS","Ads","3","1","1","1","0","0"
"1","29","Female","2","Mobile","iOS","Ads","2","1","0","0","0","0"
"1","27","Female","2","Mobile","iOS","Ads","9","1","1","0","0","0"
"1","26","Female","4","Mobile","Android","Ads","4","1","1","0","0","0"
"1","25","Female","1","Mobile","Android","Ads","5","1","1","1","0","0"
"1","25","Female","2","Desktop","Windows","Seo","4","1","1","0","0","0"
"1","24","Female","1","Mobile","Android","Seo","4","1","1","1","0","0"
"1","24","Female","2","Desktop","Windows","Seo","3","1","1","0","0","0"
